,nombre,precio,tipo,enlace,modelo,an,brand,prices.amountMax,prices.amountMin,prices.isSale
124,Nike Air Max 3,98.97$140,Calzado para hombre,https://www.nike.com/us/es/t/calzado-air-max-3-zWF1sC/CZ2908-100,air max,2021,nike,140.0,98.97,False
125,Nike Mercurial Superfly 8 Academy TF,85,Calzado de fútbol para pasto sintético (turf),https://www.nike.com/us/es/t/calzado-de-fútbol-para-pasto-sintético-turf-mercurial-superfly-8-academy-tf-nWW4Kf/CV0953-004,others,2021,nike,85.0,85.0,False
126,Nike Fontanka Edge,101.97$140,Calzado para mujer,https://www.nike.com/us/es/t/calzado-fontanka-edge-pZ16rB/CU1450-100,others,2021,nike,140.0,101.97,True
127,Nike Fly.By Mid 2,55.97$65,Calzado de básquetbol,https://www.nike.com/us/es/t/calzado-de-básquetbol-fly-by-mid-2-Sd9lfz/CU3503-103,others,2021,nike,65.0,55.97,True
128,Nike Crater Impact,100,Calzado para mujer,https://www.nike.com/us/es/t/calzado-crater-impact-zztfgM/CW2386-700,others,2021,nike,100.0,100.0,False
129,Nike Reposto,50.97$70,Calzado para mujer,https://www.nike.com/us/es/t/calzado-reposto-3cZlr6/CZ5630-013,others,2021,nike,70.0,50.97,True
130,Nike Tanjun,65,Calzado para mujer,https://www.nike.com/us/es/t/calzado-tanjun-kDK1J3/812655-002,others,2021,nike,65.0,65.0,False
131,Nike Tiempo Legend 9 Club TF,50,Calzado de fútbol para pasto sintético (turf),https://www.nike.com/us/es/t/calzado-de-fútbol-para-pasto-sintético-turf-tiempo-legend-9-club-tf-8lrbXd/DA1193-107,others,2021,nike,50.0,50.0,False
132,Nike SB Chron 2 Canvas,60,Calzado de skateboarding,https://www.nike.com/us/es/t/calzado-de-skateboarding-sb-chron-2-canvas-VmcNLG/DM3494-001,sb skate,2021,nike,60.0,60.0,False
133,Nike Downshifter 11,60,Calzado de running en carretera para mujer,https://www.nike.com/us/es/t/calzado-de-running-para-carretera-downshifter-11-q9dzVs/CW3413-006,others,2021,nike,60.0,60.0,False
134,Nike Revolution 6 Next Nature,65,Calzado de running en carretera para mujer (ancho),https://www.nike.com/us/es/t/calzado-de-running-en-carretera-revolution-6-next-nature-vWTtfR/DC9001-002,others,2021,nike,65.0,65.0,False
135,NikeCourt Air Zoom Vapor Pro,120,Calzado de tenis para cancha dura para mujer,https://www.nike.com/us/es/t/calzado-de-tenis-para-cancha-dura-court-air-zoom-vapor-pro-RRbTJl/CZ0222-110,court tennis,2021,nike,120.0,120.0,False
136,KD14,160,Calzado de básquetbol,https://www.nike.com/us/es/t/calzado-de-básquetbol-kd14-rDCPfZ/DO6903-400,others,2021,nike,160.0,160.0,False
