,an,brand,modelo,prices.amountMax,prices.amountMin,prices.isSale
8555,2018,nike,others,65.0,65.0,False
8556,2018,nike,others,65.0,65.0,False
8557,2018,nike,others,65.0,65.0,False
8558,2018,nike,others,65.0,65.0,False
8559,2018,nike,others,65.0,48.75,False
8560,2018,nike,others,65.0,48.75,False
8561,2018,nike,others,65.0,48.75,False
8562,2018,nike,others,65.0,65.0,False
8563,2018,nike,others,65.0,54.99,False
8564,2018,nike,others,30.0,30.0,False
8565,2018,nike,others,30.0,30.0,False
8566,2018,nike,others,30.0,24.99,False
8567,2018,nike,others,30.0,30.0,False
8568,2018,nike,others,30.0,30.0,False
8569,2018,nike,others,30.0,24.99,False
8570,2018,nike,others,30.0,24.99,False
8571,2018,nike,others,30.0,30.0,False
8572,2018,nike,others,30.0,24.99,False
8573,2018,nike,others,30.0,30.0,False
8574,2018,nike,others,30.0,24.99,False
8575,2018,nike,others,30.0,24.99,False
8576,2018,nike,others,30.0,30.0,False
8577,2018,nike,others,30.0,24.99,False
8578,2018,nike,others,30.0,24.99,False
8579,2018,nike,others,30.0,24.99,False
8580,2018,nike,others,30.0,30.0,False
8639,2018,nike,air max,85.0,85.0,False
8640,2018,nike,air max,85.0,63.75,False
8641,2018,nike,air max,85.0,63.75,False
8642,2018,nike,air max,85.0,85.0,False
8643,2018,nike,air max,85.0,63.75,False
8644,2018,nike,air max,85.0,85.0,False
8645,2018,nike,air max,85.0,63.75,False
8646,2018,nike,air max,85.0,85.0,False
8647,2018,nike,air max,85.0,85.0,False
8648,2018,nike,air max,85.0,85.0,False
8649,2018,nike,air max,85.0,63.75,False
8650,2018,nike,air max,85.0,85.0,False
8651,2018,nike,air max,85.0,85.0,False
8652,2018,nike,air max,85.0,85.0,False
8653,2018,nike,air max,85.0,85.0,False
8654,2018,nike,air max,85.0,85.0,False
8655,2018,nike,air max,85.0,63.75,False
8656,2018,nike,air max,85.0,85.0,False
8657,2018,nike,air max,85.0,63.75,False
8658,2018,nike,air max,85.0,63.75,False
8659,2018,nike,air max,85.0,85.0,False
8660,2018,nike,air max,85.0,63.75,False
8661,2018,nike,air max,85.0,85.0,False
8662,2018,nike,air max,85.0,63.75,False
8663,2018,nike,air max,85.0,85.0,False
8664,2018,nike,air max,85.0,85.0,False
8665,2018,nike,air max,85.0,63.75,False
8666,2018,nike,air max,85.0,63.75,False
8667,2018,nike,air max,85.0,85.0,False
8668,2018,nike,air max,85.0,63.75,False
8669,2018,nike,air max,85.0,63.75,False
8670,2018,nike,air max,85.0,85.0,False
8671,2018,nike,air max,85.0,85.0,False
8672,2018,nike,air max,85.0,85.0,False
8673,2018,nike,air max,85.0,85.0,False
9787,2018,nike,pegasus,109.95,82.46,True
9788,2018,nike,pegasus,109.95,82.46,True
9789,2018,nike,pegasus,109.95,82.46,True
9790,2018,nike,pegasus,109.95,82.46,True
9791,2018,nike,pegasus,109.95,82.46,True
9792,2018,nike,pegasus,109.95,82.46,True
9793,2018,nike,pegasus,109.95,82.46,True
9807,2018,nike,others,74.95,48.72,True
9808,2018,nike,lunar running,119.95,89.96,True
9809,2018,nike,lunar running,119.95,89.96,True
9810,2018,nike,lunar running,159.95,95.97,True
9811,2018,nike,lunar running,159.95,95.97,True
9812,2018,nike,others,99.95,99.95,False
9813,2018,nike,others,99.95,99.95,False
9814,2018,nike,others,99.95,99.95,False
9998,2018,nike,az structure,119.95,89.96,True
0,2021,nike,others,90.0,90.0,False
1,2021,nike,others,100.0,100.0,False
2,2021,nike,pegasus,120.0,120.0,False
3,2021,nike,others,180.0,180.0,False
4,2021,nike,others,110.0,110.0,False
5,2021,nike,others,110.0,110.0,False
6,2021,nike,others,110.0,110.0,False
7,2021,nike,air max,150.0,150.0,False
8,2021,nike,others,120.0,120.0,False
9,2021,nike,others,200.0,200.0,False
10,2021,nike,pegasus,130.0,130.0,False
11,2021,nike,others,140.0,140.0,False
12,2021,nike,others,100.0,100.0,False
13,2021,nike,others,275.0,275.0,False
14,2021,nike,others,250.0,250.0,False
